,day_of_week,start_hour,start_station_id,start_station_longitude,start_station_latitude,ride_start_date
0,Mon,18,523,-73.99138152,40.75466591,2013-09-09
1,Thu,18,257,-74.00247214,40.71939226,2013-09-12
2,Wed,19,479,-73.9912551,40.76019252,2013-09-18
3,Sat,11,527,-73.97434726,40.74315566,2013-09-28
4,Fri,22,293,-73.9907647,40.73028666,2013-09-27
5,Sun,13,380,-74.00293877,40.73401143,2013-09-29
6,Sat,10,346,-74.00618026,40.73652889,2013-09-21
7,Fri,12,510,-73.98042047,40.7606597,2013-09-20
8,Tue,16,446,-73.99529885,40.74487634,2013-09-03
9,Fri,23,251,-73.99480012,40.72317958,2013-09-06
10,Sun,2,393,-73.97995466,40.72299208,2013-09-22
11,Fri,9,388,-74.00295035,40.74971775,2013-09-13
12,Tue,15,546,-73.98303529,40.74444921,2013-09-24
13,Mon,18,167,-73.97604882,40.7489006,2013-09-16
14,Mon,6,404,-74.00550867,40.7405826,2013-09-23
15,Fri,7,445,-73.98142006,40.72740794,2013-09-13
16,Tue,17,505,-73.98848395,40.74901271,2013-09-24
17,Sun,1,528,-73.97706058,40.74290902,2013-09-29
18,Sun,7,512,-73.99839279,40.7500727,2013-09-08
19,Fri,20,366,-73.968896,40.693261,2013-09-20
20,Thu,14,380,-74.00293877,40.73401143,2013-09-05
21,Mon,18,385,-73.96603308,40.75797322,2013-09-09
22,Fri,9,252,-73.99852205,40.73226398,2013-09-13
23,Fri,8,526,-73.98490707,40.74765947,2013-09-13
24,Fri,8,420,-73.96968902,40.68764484,2013-09-27
25,Wed,19,503,-73.98751968,40.73827428,2013-09-11
26,Mon,10,253,-73.99453948,40.73543934,2013-09-16
27,Thu,16,471,-73.95698119,40.71286844,2013-09-19
28,Mon,17,446,-73.99529885,40.74487634,2013-09-16
29,Sat,12,469,-73.98268129,40.76344058,2013-09-07
30,Wed,23,116,-74.00149746,40.74177603,2013-09-25
31,Sat,14,245,-73.97703874,40.69327018,2013-09-21
32,Wed,8,469,-73.98268129,40.76344058,2013-09-25
33,Wed,21,523,-73.99138152,40.75466591,2013-09-04
34,Mon,9,488,-73.99372222,40.75645824,2013-09-23
35,Fri,21,422,-73.988038,40.770513,2013-09-13
36,Wed,19,249,-74.0090009,40.71870987,2013-09-25
37,Fri,18,153,-73.9816324,40.75206231,2013-09-20
38,Tue,19,468,-73.98192338,40.7652654,2013-09-24
39,Wed,11,428,-73.98783413,40.72467721,2013-09-18
40,Tue,17,415,-74.00926027,40.7047177,2013-09-17
41,Tue,22,265,-73.99147535,40.72229346,2013-09-24
