,trip_duration_min,birth_year,clusters,cluster
0,16,1968,3,dark purple
1,9,1983,0,light pink
2,6,1989,0,light pink
3,9,1988,0,light pink
4,7,1986,0,light pink
5,10,1994,0,light pink
6,4,1969,3,dark purple
7,11,1993,0,light pink
8,9,1983,0,light pink
9,20,1985,0,light pink
10,16,1979,0,light pink
11,17,1967,3,dark purple
12,13,1981,0,light pink
13,2,1959,1,pink
14,21,1976,2,purple
15,11,1989,0,light pink
16,13,1985,0,light pink
17,13,1976,3,dark purple
18,10,1974,3,dark purple
19,7,1978,3,dark purple
20,10,1971,3,dark purple
21,20,1981,2,purple
22,3,1966,3,dark purple
23,5,1987,0,light pink
24,4,1965,3,dark purple
25,2,1985,0,light pink
26,18,1951,1,pink
27,34,1954,1,pink
28,15,1969,3,dark purple
29,10,1989,0,light pink
30,9,1983,0,light pink
31,30,1988,2,purple
32,8,1960,1,pink
33,9,1969,3,dark purple
34,5,1984,0,light pink
35,25,1989,2,purple
36,30,1965,2,purple
37,7,1985,0,light pink
38,29,1955,1,pink
39,15,1976,3,dark purple
40,3,1988,0,light pink
41,15,1967,3,dark purple
42,6,1958,1,pink
43,7,1966,3,dark purple
44,17,1975,3,dark purple
45,22,1987,2,purple
46,3,1984,0,light pink
47,13,1986,0,light pink
48,15,1988,0,light pink
49,9,1981,0,light pink
50,28,1953,1,pink
51,14,1976,3,dark purple
52,13,1975,3,dark purple
53,10,1988,0,light pink
54,14,1989,0,light pink
55,37,1979,2,purple
56,14,1980,0,light pink
57,15,1973,3,dark purple
58,9,1984,0,light pink
59,6,1957,1,pink
60,11,1970,3,dark purple
61,4,1977,3,dark purple
62,5,1987,0,light pink
63,9,1980,0,light pink
64,11,1961,1,pink
65,2,1985,0,light pink
66,4,1980,0,light pink
67,6,1965,3,dark purple
68,6,1982,0,light pink
69,5,1962,1,pink
70,15,1978,3,dark purple
71,16,1986,0,light pink
72,2,1984,0,light pink
73,12,1975,3,dark purple
74,18,1978,2,purple
75,14,1986,0,light pink
76,7,1988,0,light pink
77,20,1975,2,purple
78,17,1987,0,light pink
79,5,1959,1,pink
80,3,1950,1,pink
81,6,1954,1,pink
82,31,1974,2,purple
83,6,1979,0,light pink
84,10,1975,3,dark purple
85,7,1970,3,dark purple
86,10,1987,0,light pink
87,20,1965,1,pink
88,11,1967,3,dark purple
89,17,1981,0,light pink
90,27,1988,2,purple
91,15,1981,0,light pink
92,9,1985,0,light pink
93,6,1956,1,pink
94,10,1976,3,dark purple
95,12,1991,0,light pink
96,11,1988,0,light pink
97,11,1976,3,dark purple
98,8,1964,1,pink
99,6,1979,0,light pink
100,8,1982,0,light pink
101,11,1964,1,pink
102,16,1981,0,light pink
103,2,1976,3,dark purple
104,22,1961,1,pink
105,3,1974,3,dark purple
106,6,1993,0,light pink
107,7,1986,0,light pink
108,13,1977,3,dark purple
109,15,1980,0,light pink
110,18,1962,1,pink
111,24,1988,2,purple
112,19,1976,2,purple
113,2,1946,1,pink
114,16,1984,0,light pink
115,11,1981,0,light pink
116,10,1957,1,pink
117,31,1979,2,purple
118,11,1993,0,light pink
119,4,1961,1,pink
120,2,1982,0,light pink
121,6,1983,0,light pink
122,27,1978,2,purple
123,10,1984,0,light pink
124,15,1976,3,dark purple
125,4,1980,0,light pink
126,11,1967,3,dark purple
127,9,1982,0,light pink
128,22,1980,2,purple
129,11,1954,1,pink
130,8,1984,0,light pink
131,6,1982,0,light pink
132,23,1979,2,purple
133,11,1947,1,pink
134,11,1973,3,dark purple
135,8,1974,3,dark purple
136,8,1969,3,dark purple
137,16,1955,1,pink
138,12,1975,3,dark purple
139,8,1963,1,pink
140,23,1952,1,pink
141,6,1992,0,light pink
142,12,1976,3,dark purple
143,10,1987,0,light pink
144,31,1962,2,purple
145,13,1966,3,dark purple
146,12,1980,0,light pink
147,10,1980,0,light pink
148,8,1958,1,pink
149,9,1976,3,dark purple
150,11,1985,0,light pink
151,8,1984,0,light pink
152,4,1981,0,light pink
153,7,1974,3,dark purple
154,12,1983,0,light pink
155,26,1981,2,purple
156,10,1978,3,dark purple
157,14,1978,3,dark purple
158,27,1985,2,purple
159,5,1966,3,dark purple
160,13,1974,3,dark purple
161,14,1985,0,light pink
162,18,1990,0,light pink
163,14,1965,1,pink
164,26,1969,2,purple
165,10,1955,1,pink
166,12,1985,0,light pink
167,18,1967,3,dark purple
168,4,1974,3,dark purple
169,7,1951,1,pink
170,14,1969,3,dark purple
171,7,1968,3,dark purple
172,10,1970,3,dark purple
173,10,1962,1,pink
174,5,1967,3,dark purple
175,9,1988,0,light pink
176,8,1972,3,dark purple
177,6,1984,0,light pink
178,8,1975,3,dark purple
179,34,1960,2,purple
180,8,1978,3,dark purple
181,3,1963,3,dark purple
182,23,1981,2,purple
183,35,1957,2,purple
184,22,1981,2,purple
185,12,1985,0,light pink
186,3,1965,3,dark purple
187,4,1980,0,light pink
188,8,1983,0,light pink
189,9,1992,0,light pink
190,7,1986,0,light pink
191,1,1979,0,light pink
192,16,1991,0,light pink
193,4,1978,3,dark purple
194,6,1970,3,dark purple
195,18,1976,3,dark purple
196,27,1977,2,purple
197,37,1963,2,purple
198,5,1968,3,dark purple
199,6,1974,3,dark purple
200,19,1980,2,purple
201,10,1962,1,pink
202,5,1962,1,pink
203,2,1965,3,dark purple
204,3,1983,0,light pink
205,9,1963,1,pink
206,44,1990,2,purple
207,3,1976,3,dark purple
208,12,1982,0,light pink
209,10,1985,0,light pink
210,6,1992,0,light pink
211,2,1987,0,light pink
212,26,1979,2,purple
213,12,1986,0,light pink
214,17,1984,0,light pink
215,8,1990,0,light pink
216,4,1944,1,pink
217,7,1963,1,pink
218,15,1979,0,light pink
219,5,1983,0,light pink
220,3,1966,3,dark purple
221,41,1975,2,purple
222,9,1961,1,pink
223,13,1985,0,light pink
224,18,1992,0,light pink
225,14,1990,0,light pink
226,5,1986,0,light pink
227,3,1971,3,dark purple
228,20,1963,1,pink
229,11,1979,0,light pink
230,3,1967,3,dark purple
231,8,1973,3,dark purple
232,30,1977,2,purple
233,6,1974,3,dark purple
234,3,1975,3,dark purple
235,19,1972,3,dark purple
236,20,1983,2,purple
237,13,1968,3,dark purple
238,6,1982,0,light pink
239,11,1979,0,light pink
240,17,1986,0,light pink
241,21,1983,2,purple
242,29,1953,1,pink
243,13,1951,1,pink
244,9,1953,1,pink
245,9,1984,0,light pink
246,39,1977,2,purple
247,14,1965,1,pink
248,38,1976,2,purple
249,11,1957,1,pink
250,6,1968,3,dark purple
251,7,1985,0,light pink
252,17,1951,1,pink
253,20,1989,0,light pink
254,7,1982,0,light pink
255,9,1985,0,light pink
256,11,1987,0,light pink
257,19,1983,0,light pink
258,10,1985,0,light pink
259,10,1964,1,pink
260,6,1985,0,light pink
261,9,1971,3,dark purple
262,5,1975,3,dark purple
263,8,1985,0,light pink
264,32,1968,2,purple
265,8,1988,0,light pink
266,13,1985,0,light pink
267,5,1992,0,light pink
268,8,1973,3,dark purple
269,3,1979,0,light pink
270,7,1968,3,dark purple
271,15,1980,0,light pink
272,17,1983,0,light pink
273,11,1972,3,dark purple
274,32,1984,2,purple
275,6,1989,0,light pink
276,4,1982,0,light pink
277,23,1987,2,purple
278,10,1976,3,dark purple
279,30,1997,2,purple
280,9,1971,3,dark purple
281,5,1961,1,pink
282,4,1976,3,dark purple
283,13,1964,1,pink
284,9,1973,3,dark purple
285,7,1966,3,dark purple
286,11,1982,0,light pink
287,23,1981,2,purple
288,33,1941,1,pink
289,28,1984,2,purple
290,6,1967,3,dark purple
291,17,1984,0,light pink
292,13,1976,3,dark purple
293,16,1979,0,light pink
294,8,1984,0,light pink
295,6,1981,0,light pink
296,7,1961,1,pink
297,12,1976,3,dark purple
298,11,1986,0,light pink
299,44,1978,2,purple
