,birth_year,ride_count,avg_duration_min,start_hour,clusters,cluster
0,1932,10,14.9,13.4,1,pink
1,1933,5,13.4,11.6,1,pink
2,1934,2,8.5,14.0,1,pink
3,1935,14,15.214285714285714,13.642857142857142,1,pink
4,1936,4,13.25,18.25,1,pink
5,1937,7,14.571428571428571,16.857142857142858,1,pink
6,1938,7,9.285714285714286,12.428571428571429,1,pink
7,1939,8,13.125,13.375,1,pink
8,1940,20,13.95,14.35,1,pink
9,1941,18,15.38888888888889,14.11111111111111,1,pink
10,1942,37,13.783783783783784,14.891891891891891,1,pink
11,1943,35,13.457142857142857,13.514285714285714,1,pink
12,1944,41,13.804878048780488,13.024390243902438,1,pink
13,1945,57,12.157894736842104,12.736842105263158,1,pink
14,1946,60,13.0,14.233333333333333,1,pink
15,1947,96,13.145833333333334,14.0625,1,pink
16,1948,147,12.571428571428571,13.387755102040817,1,pink
17,1949,130,15.892307692307693,13.261538461538462,1,pink
18,1950,179,14.072625698324023,13.067039106145252,1,pink
19,1951,209,14.47846889952153,13.703349282296651,1,pink
20,1952,239,13.02928870292887,12.857740585774058,1,pink
21,1953,321,12.853582554517134,13.63551401869159,3,dark purple
22,1954,311,12.903536977491962,13.90032154340836,3,dark purple
23,1955,349,14.257879656160458,13.326647564469914,3,dark purple
24,1956,398,12.72110552763819,13.72110552763819,3,dark purple
25,1957,462,12.43939393939394,13.735930735930737,3,dark purple
26,1958,431,12.705336426914153,12.77494199535963,3,dark purple
27,1959,534,12.02059925093633,13.769662921348315,3,dark purple
28,1960,622,13.718649517684888,13.482315112540192,3,dark purple
29,1961,554,12.944043321299638,13.620938628158845,3,dark purple
30,1962,677,12.880354505169867,13.663220088626293,3,dark purple
31,1963,761,13.176084099868595,13.818659658344284,3,dark purple
32,1964,691,12.784370477568741,13.736613603473227,3,dark purple
33,1965,738,12.582655826558266,13.577235772357724,3,dark purple
34,1966,833,12.266506602641057,13.648259303721488,0,light pink
35,1967,888,12.167792792792794,13.7240990990991,0,light pink
36,1968,888,12.878378378378379,13.89864864864865,0,light pink
37,1969,1054,12.549335863377609,13.89089184060721,0,light pink
38,1970,1131,12.015030946065428,13.808134394341291,0,light pink
39,1971,969,12.137254901960784,13.735810113519092,0,light pink
40,1972,1046,12.240917782026768,14.023900573613767,0,light pink
41,1973,1018,12.709233791748527,14.078585461689588,0,light pink
42,1974,1191,12.08816120906801,13.90512174643157,0,light pink
43,1975,1155,12.2008658008658,13.761038961038961,0,light pink
44,1976,1261,12.409199048374306,14.089611419508326,0,light pink
45,1977,1269,12.692671394799055,14.419227738376675,0,light pink
46,1978,1384,12.330924855491329,14.135838150289016,2,purple
47,1979,1537,12.571893298633702,14.20949902407287,2,purple
48,1980,1645,12.16595744680851,14.48936170212766,2,purple
49,1981,1830,12.17431693989071,14.152459016393443,2,purple
50,1982,1810,12.549171270718231,14.195580110497238,2,purple
51,1983,1785,12.092436974789916,14.225770308123248,2,purple
52,1984,1798,12.28754171301446,14.516685205784205,2,purple
53,1985,1837,11.855743059335873,14.219923788786064,2,purple
54,1986,1714,12.002333722287048,14.58926487747958,2,purple
55,1987,1530,12.18235294117647,14.472549019607843,2,purple
56,1988,1503,12.033932135728543,14.628077178975383,2,purple
57,1989,1302,12.109831029185868,14.406298003072196,0,light pink
58,1990,932,11.927038626609441,14.395922746781116,0,light pink
59,1991,473,11.782241014799155,14.530655391120508,3,dark purple
60,1992,395,10.151898734177216,14.582278481012658,3,dark purple
61,1993,314,9.585987261146498,14.060509554140127,3,dark purple
62,1994,149,10.328859060402685,14.275167785234899,1,pink
63,1995,82,9.731707317073171,14.548780487804878,1,pink
64,1996,67,12.611940298507463,14.91044776119403,1,pink
65,1997,26,13.846153846153847,15.115384615384615,1,pink
